Time_Index,off_wind_AC,off_wind_AL,off_wind_AM,off_wind_AP,off_wind_BA,off_wind_CE,off_wind_DF,off_wind_ES,off_wind_GO,off_wind_MA,off_wind_MG,off_wind_MS,off_wind_MT,off_wind_PA,off_wind_PB,off_wind_PE,off_wind_PI,off_wind_PR,off_wind_RJ,off_wind_RN,off_wind_RO,off_wind_RR,off_wind_RS,off_wind_SC,off_wind_SE,off_wind_SP,off_wind_TO,on_wind_AC,on_wind_AL,on_wind_AM,on_wind_AP,on_wind_BA,on_wind_CE,on_wind_DF,on_wind_ES,on_wind_GO,on_wind_MA,on_wind_MG,on_wind_MS,on_wind_MT,on_wind_PA,on_wind_PB,on_wind_PE,on_wind_PI,on_wind_PR,on_wind_RJ,on_wind_RN,on_wind_RO,on_wind_RR,on_wind_RS,on_wind_SC,on_wind_SE,on_wind_SP,on_wind_TO,solar_pv_AC,solar_pv_AL,solar_pv_AM,solar_pv_AP,solar_pv_BA,solar_pv_CE,solar_pv_DF,solar_pv_ES,solar_pv_GO,solar_pv_MA,solar_pv_MG,solar_pv_MS,solar_pv_MT,solar_pv_PA,solar_pv_PB,solar_pv_PE,solar_pv_PI,solar_pv_PR,solar_pv_RJ,solar_pv_RN,solar_pv_RO,solar_pv_RR,solar_pv_RS,solar_pv_SC,solar_pv_SE,solar_pv_SP,solar_pv_TO,biomass
1,0.0,0.3387,0.0,0.4097,0.4391,0.3514,0.0,0.698,0.0,0.3294,0.0,0.0,0.0,0.4384,0.4312,0.3637,0.4264,0.1948,0.5131,0.5365,0.0,0.0,0.4713,0.1748,0.2955,0.1891,0.0,0.0228,0.3761,0.0222,0.1073,0.1846,0.2185,0.0,0.1117,0.0386,0.0278,0.029,0.0198,0.0121,0.0157,0.4704,0.3302,0.0524,0.0973,0.0628,0.6147,0.0172,0.111,0.4098,0.1416,0.3969,0.1058,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
2,0.0,0.2905,0.0,0.3691,0.4298,0.3463,0.0,0.7104,0.0,0.3276,0.0,0.0,0.0,0.3911,0.4493,0.3289,0.4401,0.2098,0.5199,0.5042,0.0,0.0,0.4946,0.1773,0.2801,0.1982,0.0,0.032,0.3274,0.0228,0.11,0.1677,0.2185,0.0,0.0988,0.0333,0.0308,0.0283,0.0269,0.0137,0.0158,0.4637,0.2951,0.0533,0.1188,0.06,0.5579,0.0263,0.1271,0.3882,0.193,0.3626,0.0985,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
3,0.0,0.2526,0.0,0.3644,0.4149,0.3097,0.0,0.7064,0.0,0.2684,0.0,0.0,0.0,0.3471,0.4381,0.2867,0.4616,0.1792,0.5315,0.4696,0.0,0.0,0.463,0.1924,0.3186,0.1802,0.0,0.0389,0.2798,0.0198,0.0946,0.1426,0.1738,0.0,0.0937,0.0267,0.0263,0.0312,0.0335,0.0159,0.0147,0.4293,0.2404,0.0434,0.133,0.0584,0.4748,0.0281,0.1372,0.322,0.2092,0.3314,0.0928,0.0026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
4,0.0,0.2176,0.0,0.375,0.4043,0.2704,0.0,0.6855,0.0,0.2435,0.0,0.0,0.0,0.3298,0.3951,0.2455,0.4375,0.1519,0.5574,0.439,0.0,0.0,0.4312,0.1967,0.3182,0.1308,0.0,0.0397,0.2173,0.0174,0.076,0.1262,0.1387,0.0,0.0851,0.0299,0.0239,0.0297,0.032,0.0163,0.0142,0.3711,0.2089,0.0361,0.1313,0.0631,0.4058,0.0252,0.1336,0.2748,0.1907,0.2629,0.0969,0.0023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
5,0.0,0.1812,0.0,0.3849,0.4171,0.2339,0.0,0.6268,0.0,0.23,0.0,0.0,0.0,0.3002,0.3221,0.2121,0.3341,0.1395,0.575,0.414,0.0,0.0,0.3826,0.187,0.2692,0.0947,0.0,0.0314,0.1501,0.0165,0.0574,0.1178,0.1123,0.0,0.0745,0.0306,0.02,0.0238,0.0268,0.0188,0.013,0.2962,0.1815,0.0387,0.1132,0.0675,0.3318,0.0231,0.1296,0.2626,0.1624,0.1862,0.0986,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
6,0.0,0.1631,0.0,0.4009,0.4197,0.2219,0.0,0.5561,0.0,0.2106,0.0,0.0,0.0,0.2676,0.2857,0.2263,0.2418,0.1081,0.5809,0.4075,0.0,0.0,0.3303,0.168,0.2273,0.0735,0.0,0.0272,0.1026,0.0158,0.0453,0.1193,0.0938,0.0,0.062,0.0322,0.0171,0.0211,0.0253,0.0181,0.013,0.2544,0.1751,0.0387,0.0928,0.0682,0.2991,0.0204,0.1302,0.2555,0.1459,0.1283,0.0858,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
7,0.0,0.1795,0.0,0.4123,0.4199,0.2166,0.0,0.4911,0.0,0.2034,0.0,0.0,0.0,0.2605,0.283,0.2199,0.1938,0.0554,0.5524,0.4094,0.0,0.0,0.3184,0.1436,0.2292,0.0469,0.0,0.0238,0.0739,0.015,0.0391,0.1174,0.076,0.0,0.0527,0.0352,0.0157,0.0233,0.0275,0.0182,0.0128,0.2205,0.1694,0.0392,0.0871,0.0636,0.2814,0.0201,0.1314,0.2505,0.1388,0.1076,0.0547,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
8,0.0,0.2074,0.0,0.4028,0.4119,0.2158,0.0,0.4621,0.0,0.212,0.0,0.0,0.0,0.2524,0.3046,0.1857,0.1953,0.0142,0.5185,0.4159,0.0,0.0,0.2962,0.1179,0.2476,0.0223,0.0,0.0233,0.0558,0.014,0.0327,0.1194,0.0666,0.0,0.0513,0.0401,0.0141,0.0281,0.0276,0.0185,0.0127,0.2056,0.1639,0.0412,0.0927,0.0591,0.2724,0.0195,0.133,0.2458,0.1405,0.0971,0.0395,0.0037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
9,0.0,0.203,0.0,0.3658,0.4036,0.2351,0.0,0.4545,0.0,0.2307,0.0,0.0,0.0,0.2269,0.3018,0.1444,0.2014,0.0011,0.4817,0.415,0.0,0.0,0.2663,0.1023,0.2666,0.005,0.0,0.027,0.0519,0.0135,0.0316,0.1193,0.0571,0.0,0.0488,0.0447,0.0109,0.0333,0.0263,0.0177,0.0147,0.1982,0.1633,0.0414,0.0943,0.0583,0.2522,0.0185,0.1415,0.2382,0.1292,0.0994,0.0348,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
10,0.0,0.1899,0.0,0.325,0.3938,0.2643,0.0,0.4318,0.0,0.2099,0.0,0.0,0.0,0.1924,0.2875,0.1192,0.1918,0.0,0.4485,0.4492,0.0,0.0,0.2441,0.1052,0.255,0.0018,0.0,0.0321,0.0987,0.0146,0.0241,0.1465,0.0818,0.0,0.0568,0.0436,0.0068,0.0417,0.0265,0.0165,0.0176,0.282,0.2147,0.0459,0.1036,0.0669,0.3337,0.0191,0.1484,0.2417,0.1267,0.1707,0.0386,0.0081,0.0,0.0296,0.0,0.0,0.0131,0.0103,0.0006,0.0269,0.0006,0.0003,0.0104,0.0,0.0,0.0,0.0263,0.0218,0.004,0.0026,0.0337,0.0271,0.0,0.0,0.0032,0.0065,0.0238,0.0052,0.0002,0.05
