Time_Index,Demand_MW_MG,Demand_MW_SP,Demand_MW_GO,Demand_MW_RJ,Demand_MW_ES,Demand_MW_RO,Demand_MW_MS,Demand_MW_MT,Demand_MW_AC,Demand_MW_DF,Demand_MW_PA,Demand_MW_TO,Demand_MW_MA,Demand_MW_AP,Demand_MW_AM,Demand_MW_RR,Demand_MW_SC,Demand_MW_PR,Demand_MW_RS,Demand_MW_PI,Demand_MW_CE,Demand_MW_RN,Demand_MW_PB,Demand_MW_PE,Demand_MW_AL,Demand_MW_SE,Demand_MW_BA,Demand_MW_ARG,Demand_MW_URY,Demand_MW_VEN,Demand_MW_PRY
1,6364.35,13484.62,2115.06,4772.11,1179.6,447.01,770.29,1010.15,183.23,752.58,1827.07,404.18,1718.0,139.46,687.59,111.7,2310.13,3626.03,3634.83,635.55,1821.67,721.19,810.13,1835.57,566.42,448.9,2992.57,0.0,0.0,0.0,0.0
2,6349.81,13453.81,2110.23,4761.21,1176.9,445.99,768.53,1007.84,182.81,750.86,1772.5,392.11,1666.69,135.29,667.05,108.36,2400.89,3768.48,3777.63,617.38,1769.61,700.58,786.98,1783.11,550.23,436.07,2907.04,0.0,0.0,0.0,0.0
3,6282.85,13311.93,2087.97,4711.0,1164.49,441.29,760.43,997.21,180.88,742.94,1766.52,390.78,1661.06,134.84,664.8,108.0,2386.16,3745.37,3754.46,623.72,1787.77,707.77,795.05,1801.41,555.87,440.54,2936.87,0.0,0.0,0.0,0.0
4,6141.55,13012.56,2041.01,4605.05,1138.3,431.36,743.33,974.78,176.82,726.23,1778.48,393.43,1672.31,135.75,669.3,108.73,2310.86,3627.17,3635.97,627.21,1797.77,711.73,799.5,1811.49,558.99,443.01,2953.31,0.0,0.0,0.0,0.0
5,6026.26,12768.28,2002.7,4518.61,1116.93,423.26,729.37,956.49,173.5,712.6,1786.33,395.17,1679.69,136.35,672.26,109.21,2251.96,3534.73,3543.31,626.04,1794.44,710.41,798.02,1808.13,557.95,442.19,2947.83,0.0,0.0,0.0,0.0
6,5927.15,12558.28,1969.76,4444.29,1098.56,416.3,717.38,940.75,170.64,700.88,1780.35,393.84,1674.07,135.89,670.0,108.84,2216.72,3479.41,3487.86,620.87,1779.61,704.54,791.43,1793.2,553.34,438.53,2923.48,0.0,0.0,0.0,0.0
7,5650.08,11971.24,1877.68,4236.54,1047.21,396.84,683.84,896.78,162.67,668.12,1738.11,384.5,1634.35,132.67,654.11,106.26,2086.63,3275.21,3283.16,570.13,1634.17,646.96,726.75,1646.64,508.12,402.69,2684.55,0.0,0.0,0.0,0.0
8,5482.16,11615.46,1821.88,4110.63,1016.09,385.05,663.52,870.13,157.83,648.26,1650.64,365.15,1552.11,125.99,621.19,100.91,2018.32,3167.99,3175.69,546.02,1565.06,619.6,696.01,1577.0,486.63,385.66,2571.02,0.0,0.0,0.0,0.0
9,5629.81,11928.28,1870.95,4221.34,1043.45,395.42,681.39,893.56,162.08,665.72,1620.74,358.54,1523.99,123.71,609.94,99.09,2071.18,3250.96,3258.86,546.8,1567.28,620.48,697.0,1579.24,487.32,386.21,2574.67,0.0,0.0,0.0,0.0
10,5844.01,12382.12,1942.13,4381.95,1083.15,410.46,707.31,927.56,168.25,691.05,1619.62,358.29,1522.93,123.62,609.52,99.02,2135.14,3351.36,3359.5,551.32,1580.25,625.61,702.77,1592.31,491.35,389.41,2595.97,0.0,0.0,0.0,0.0
11,6021.55,12758.3,2001.13,4515.07,1116.06,422.93,728.8,955.74,173.36,712.04,1617.75,357.87,1521.18,123.48,608.81,98.9,2190.17,3437.74,3446.09,553.52,1586.55,628.11,705.57,1598.66,493.31,390.96,2606.32,0.0,0.0,0.0,0.0
12,6163.05,13058.11,2048.16,4621.18,1142.29,432.87,745.93,978.2,177.43,728.78,1634.2,361.51,1536.64,124.74,615.0,99.91,2213.1,3473.73,3482.16,552.42,1583.4,626.86,704.17,1595.49,492.33,390.18,2601.15,0.0,0.0,0.0,0.0
13,6181.89,13098.03,2054.42,4635.3,1145.78,434.2,748.21,981.19,177.98,731.0,1627.47,360.02,1530.31,124.22,612.47,99.5,2197.66,3449.48,3457.86,553.58,1586.74,628.18,705.65,1598.85,493.37,391.0,2606.63,0.0,0.0,0.0,0.0
14,6088.92,12901.05,2023.52,4565.59,1128.55,427.67,736.96,966.43,175.3,720.01,1630.46,360.69,1533.13,124.45,613.6,99.68,2219.62,3483.96,3492.42,554.23,1588.59,628.91,706.48,1600.71,493.94,391.46,2609.67,0.0,0.0,0.0,0.0
15,6043.67,12805.16,2008.48,4531.66,1120.16,424.49,731.48,959.25,174.0,714.66,1651.02,365.23,1552.46,126.02,621.33,100.94,2287.2,3590.04,3598.76,556.88,1596.19,631.92,709.85,1608.37,496.31,393.33,2622.15,0.0,0.0,0.0,0.0
16,6068.86,12858.53,2016.86,4550.54,1124.83,426.26,734.53,963.25,174.72,717.64,1676.44,370.86,1576.36,127.96,630.9,102.49,2334.99,3665.05,3673.95,559.01,1602.3,634.34,712.57,1614.53,498.21,394.84,2632.19,0.0,0.0,0.0,0.0
17,6164.49,13061.15,2048.64,4622.25,1142.55,432.97,746.1,978.42,177.48,728.95,1694.38,374.83,1593.23,129.33,637.65,103.59,2365.89,3713.55,3722.56,562.31,1611.75,638.08,716.78,1624.05,501.15,397.17,2647.72,0.0,0.0,0.0,0.0
18,6260.73,13265.07,2080.62,4694.42,1160.39,439.73,757.75,993.7,180.25,740.33,1688.02,373.42,1587.25,128.85,635.26,103.2,2390.03,3751.43,3760.54,560.11,1605.45,635.59,713.97,1617.7,499.19,395.62,2637.37,0.0,0.0,0.0,0.0
19,6409.4,13580.07,2130.03,4805.89,1187.95,450.18,775.75,1017.3,184.53,757.91,1688.77,373.58,1587.96,128.9,635.54,103.24,2426.71,3809.02,3818.27,562.57,1612.49,638.38,717.11,1624.8,501.38,397.35,2648.94,0.0,0.0,0.0,0.0
20,6689.75,14174.06,2223.2,5016.1,1239.91,469.87,809.68,1061.79,192.6,791.06,1807.26,399.8,1699.37,137.95,680.13,110.49,2436.13,3823.79,3833.08,651.71,1867.99,739.53,830.73,1882.25,580.82,460.31,3068.66,0.0,0.0,0.0,0.0
