Time_Index,Demand_MW_MG,Demand_MW_SP,Demand_MW_GO,Demand_MW_RJ,Demand_MW_ES,Demand_MW_RO,Demand_MW_MS,Demand_MW_MT,Demand_MW_AC,Demand_MW_DF,Demand_MW_PA,Demand_MW_TO,Demand_MW_MA,Demand_MW_AP,Demand_MW_AM,Demand_MW_RR,Demand_MW_SC,Demand_MW_PR,Demand_MW_RS,Demand_MW_PI,Demand_MW_CE,Demand_MW_RN,Demand_MW_PB,Demand_MW_PE,Demand_MW_AL,Demand_MW_SE,Demand_MW_BA,Demand_MW_ARG,Demand_MW_URY,Demand_MW_VEN,Demand_MW_PRY
1,8270.472824999999,17523.26369,2748.5204699999995,6201.356944999999,1532.8901999999996,580.8894949999999,1000.9918549999998,1312.6899249999997,238.10738499999994,977.9777099999999,2374.2774649999997,525.2319099999999,2232.5409999999997,181.22826999999998,893.5232049999998,145.15414999999996,3002.0139349999995,4712.025985,4723.461584999999,825.8972249999998,2367.2601649999992,937.1864049999999,1052.7639349999997,2385.3232149999994,736.0627899999998,583.3455499999998,3888.8447149999997,0.0,0.0,0.0,0.0
2,8251.578094999999,17483.226094999995,2742.2438849999994,6187.192394999999,1529.3815499999998,579.564005,998.7047349999997,1309.6880799999997,237.56159499999995,975.7425699999998,2303.3637499999995,509.54694499999994,2165.8636549999997,175.80935499999998,866.8314749999997,140.81381999999996,3119.9565549999993,4897.139759999999,4909.030184999999,802.2853099999999,2299.6081949999993,910.4037099999999,1022.6805099999998,2317.1514449999995,715.023885,566.6729649999999,3777.698479999999,0.0,0.0,0.0,0.0
3,8164.563574999999,17298.853034999996,2713.317014999999,6121.944499999999,1513.2547549999997,573.4563549999999,988.1787849999998,1295.8743949999998,235.05355999999995,965.4505299999998,2295.5927399999996,507.81860999999986,2158.5474699999995,175.22457999999997,863.9075999999998,140.34599999999998,3100.8149199999993,4867.108314999999,4878.92077,810.52414,2323.2071149999997,919.7471149999999,1033.1674749999997,2340.9322949999996,722.3530649999999,572.48173,3816.4625649999994,0.0,0.0,0.0,0.0
4,7980.944224999998,16909.821719999996,2652.2924949999992,5984.2624749999995,1479.2208499999997,560.5523199999999,965.9573349999998,1266.7266099999997,229.77758999999998,943.7358849999999,2311.13476,511.2622849999999,2173.1668449999997,176.40712499999995,869.7553499999998,141.29463499999997,3002.9625699999997,4713.507414999999,4724.943015,815.059395,2336.202114999999,924.8931349999998,1038.9502499999999,2354.0312549999994,726.4075049999999,575.6914949999999,3837.8263449999995,0.0,0.0,0.0,0.0
5,7831.124869999999,16592.379859999997,2602.5086499999998,5871.933694999999,1451.4505349999997,550.0263699999999,947.8163149999999,1242.9587549999997,225.46324999999996,926.0237,2321.3358349999994,513.5234149999999,2182.757155,177.18682499999997,873.6018699999998,141.91839499999998,2926.4220199999995,4593.381634999999,4604.531344999999,813.5389799999998,2331.8747799999996,923.1777949999997,1037.0269899999998,2349.664935,725.056025,574.6259049999999,3830.705084999999,0.0,0.0,0.0,0.0
6,7702.3314249999985,16319.484859999997,2559.703119999999,5775.354854999999,1427.5787199999997,540.9818499999999,932.2353099999999,1222.5046249999998,221.74667999999994,910.7935599999998,2313.5648249999995,511.79507999999987,2175.4539649999992,176.58905499999997,870.6649999999997,141.43758,2880.6276399999992,4521.493294999999,4532.474069999999,806.8205649999999,2312.6031949999997,915.5497299999998,1028.4632849999998,2330.2634,719.0653299999999,569.8697349999999,3799.0622599999997,0.0,0.0,0.0,0.0
7,7342.278959999999,15556.626379999998,2440.0451599999997,5505.38373,1360.849395,515.6935799999999,888.6500799999999,1165.3656099999996,211.38966499999995,868.2219399999999,2258.6739449999995,499.6577499999999,2123.8378249999996,172.40466499999997,850.0159449999999,138.08487,2711.575685,4256.135394999999,4266.466419999999,740.883935,2123.6039149999997,840.72452,944.4116249999998,2139.8086799999996,660.30194,523.2956549999999,3488.5727249999995,0.0,0.0,0.0,0.0
8,7124.066919999998,15094.290269999998,2367.5330599999998,5341.763684999999,1320.4089549999999,500.37247499999995,862.2442399999998,1130.7339349999997,205.10008499999998,842.4138699999999,2145.0066799999995,474.5124249999999,2016.9669449999997,163.72400499999998,807.236405,131.13254499999996,2622.8068399999993,4116.803004999999,4126.809154999999,709.5529899999998,2033.7954699999996,805.1701999999999,904.4649949999998,2049.3115,632.3756849999999,501.16517,3341.0404899999994,0.0,0.0,0.0,0.0
9,7315.9380949999995,15500.799859999997,2431.2995249999994,5485.631329999999,1355.9632749999998,513.8482899999999,885.4663049999998,1161.1812199999997,210.62295999999998,865.1031399999999,2106.15163,465.92272999999994,1980.4250049999996,160.76114499999997,792.61703,128.76745499999998,2691.4984099999992,4224.622519999999,4234.888569999999,710.5665999999999,2036.6803599999996,806.31376,905.7514999999999,2052.2223799999997,633.2723399999999,501.8798949999999,3345.7836649999995,0.0,0.0,0.0,0.0
10,7594.290994999999,16090.564939999998,2523.797935,5694.3440249999985,1407.5534249999998,533.3927699999999,919.1493449999997,1205.36422,218.64087499999997,898.0194749999997,2104.696189999999,465.597855,1979.047535,160.64418999999995,792.0712399999999,128.67648999999997,2774.614429999999,4355.09232,4365.670249999999,716.44034,2053.534875,812.980195,913.2496149999998,2069.2068449999997,638.509325,506.03829499999995,3373.463014999999,0.0,0.0,0.0,0.0
